"Buyback","Buyback"
"Buyback Orders","Buyback Orders"
"Buyback Cart","Buyback Cart"
"Shipping Info","Shipping Info"
"Payment Info Title","Payment Info Title"
"%s was updated in your buyback cart.","%s was updated in your buyback cart."
"Cannot add the item to buyback cart.","Cannot add the item to buyback cart."
"Update Buyback Cart","Update Buyback Cart"
"Continue Shopping","Continue Shopping"
"Clear Shopping Cart","Clear Shopping Cart"
"Edit","Edit"
"Your buyback order has been received.","Your buyback order has been received."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Our shipping address","Our shipping address"
"My Buyback Orders","My Buyback Orders"
"Order #","Order #"
"Date","Date"
"Order Total","Order Total"
"Order Status","Order Status"
"View Buyback Order","View Buyback Order"
"Reorder","Reorder"
